Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
309,"(R et al., 2015)",https://wjpsonline.com/index.php/wjps/article/view/physicochemical-phytochemical-ethnic-tribes-nilgiris,passion fruit,leaf ,India,16.34,124.48,,Soxhlet  method,ethanol,Passiflora mollissima, The  curative  properties of plants are perhaps due to the presence of various secondary metabolites.,,,,,,
310,"(Gogola *, 2020)",https://doi.org/10.22087/hmj.v5i2.763,passion fruit,pulp ,Philippines,12.34,16.6,,Soxhlet  method,NaOH,Passiflora edulis L,"the fruit
peel extracts of these varieties  exhibit high
capacities to be used for medicinal purposes if they
are optimally explored and processed.",,"The fruit peels were then air-dried in room
temperature for about four to six weeks, and were
later cut into small pieces and ground using a
mechanical blender until fine powder was produced. ",,,,
311,"(Engel, 2020)",https://doi.org/10.1021/acs.jafc.0c01512,passion fruit,,,,,,,,Passiflora edulis L,the configurations determined for 2-methylbutanoic acid and its methyl ester in the beverage strongly depend on the time point of the fermentation and reflect the balance of various biogenetic sequences,,,,,,
312,"(Liu et al., 2017)",https://doi.org/10.3390/f8110435,passion fruit,"stem, leaf, flower and fruit",China,,114.48,,Soxhlet  method,,Passiflora edulisSims,"some potentially vital cold-tolerance genes and transcription factors were identified, and the expression levels of the two varieties were compared and analyzed.",,,,,,
313,"(L³pez-Vargas et al., 2013)",http://dx.doi.org/10.1016/j.foodres.2013.01.055,passion fruit,seeds and pulp fiber,Spain,4.31,13.63,,Soxhlet  method,ethanol,Passiflora mollissima,"ascorbates, reducing carbohydrates, tocopherols, carotenoids, terpenes, and pigments might contribute to the total antioxidant activity.",vitamin C,"The mixture was stirred constantly and the
water temperature was kept at 45  C during the 8 min that the wash-
ing process lasted.",34.4,42.2,,
314,"(Ramaiya, 2016)","UNIVERSITI PUTRA MALAYSIA BIOLOGY, CULTIVATION AND POTENTIAL USES OF PASSION FRUIT PLANT, PASSIFLORA SPECIES SHIAMALA DEVI RAMAIYA FSPM 2016 6. (n.d.). Retrieved February 7, 2023, from http://psasir.upm.edu.my/id/eprint/78370/1/FSPM%202016%206%20-%20IR.pdf",passion fruit,pulp ,Malaysia,3538.49,,,Soxhlet  method,ethanol,P. edulis f. f lavicarpa,,,"Briefly, 20g of finely powdered plant leaves were mixed with 100mL 70% ethanol in a 250-mL beaker for 30min. ",103.64,,60.9,
315,"(Kawakami et al., 2021)",https://doi.org/10.3390/life12010038,passion fruit,seeds,Japan,36.8,,, aqueous extraction ,ethanol,Passiflora edulisSims," Seed extract is also expected to improve fat metabolism, and the fat-burning effects of P. edulis seed extract have been demonstrated in human trials. ",, encapsulation of P. edulis seed extract using acylated rice starch also maintained antioxidant activity,,,,
316,"(Reis et al., 2018)",https://doi.org/10.1080/15428052.2018.1564103,passion fruit,fruit,Brasil,758,,, aqueous extraction ,ethanol,Passiflora edulisSims," Seed extract is also expected to improve fat metabolism, and the fat-burning effects of P. edulis seed extract have been demonstrated in human trials. ",vitamin C, encapsulation of P. edulis seed extract using acylated rice starch also maintained antioxidant activity,,,,
317,"(Rizwan et al., 2021)",https://doi.org/10.3390/plants10112459,passion fruit,pulp ,China,86,,,Soxhlet  method,ethanol,Passiflora edulis,"The successful regenerated transgenic passion fruit plants were confirmed by PCR analysis at the DNA and RNA levels, as well as by GUS assays and GFP fluorescent measurements",,A single bacterial colony obtained from streaked LB agar plates was grown overnight in 2 mL LB broth medium at 28 C with orbital shaking of 150 rpm as starter cultures.,,,,
318,"(Barbalho et al., 2012)",https://doi.org/10.7243/2050-0866-1-5,passion fruit,pulp ,Brazil,136.5,,,Soxhlet  method,ethanol,Passiflora edulis,The results of this work indicate that the use of passion fruit rinds contributed significantly to control the biochemical variables and body weight of the experimental model under study.,,,,,,
319,"(de Santana et al., 2017)",https://link.springer.com/article/10.1007/s13197-017-2813-3,passion fruit,Seeds,Brazil,42.93,41.2,,crude extract,methanol,Passiflora edulisSims,the results suggested that the optimization of the extraction conditions is critical for accurately quantifying phenolic compounds and their antioxidant proprieties,,"The solid/liquid ratio was fixed at 1/10 (w/v) for all experiments, and extraction was carried out in a thermostatic bath under constant stirring.",,110.5,,
320,"(Santos et al., 2021)",https://doi.org/10.1016/j.foodres.2021.110521,passion fruit,fruits ,Brazil,13.25,171.7,,Soxhlet  method,,Passiflora tenuifila Killip,"results
demonstrate the great potential of P. tenuifila fruit as a source of
bioactive compounds and as a functional food, and the consumption of
which can be encouraged",Ascorbic acid,,,,,
321,"(Ramli et al., 2020)",https://link.springer.com/article/10.1007/s42452-020-03550-z,passion fruit,pulp and seeds,Malaysia,,,,,,Passiflora edulis,"Total phenolic and flavonoid content analysis in this study proved that sample extract from P. edulis peels contains antioxidant compound such as Meliadanoside A from phenolic group and 7-Hydroxy-5,3,4,-trimethoxy flavone from flavonoid group",, submerged the P. edulis peel with ratio 1:3 which is 100 g of peel with 300 mL of distilled water overnight.,,,,
322,"(Chutia & Mahanta, 2021)",https://doi.org/10.1016/j.ifset.2020.102547,passion fruit,"ulp, peel and seeds",India,179.93,,,Soxhlet  method,nhexane,Passiflora edulis,"For the extraction of ca-
rotenoids by UAE using olive oil, saturation concentration (Csa)
increased with time but pseudo second order rate constant (ks)
decreased with increase in temperature.",vitamin C,"5 g PFP powder was mixed with 150 mL of n-hexane,
ethanol, ethyl acetate, acetone (2:1:1:1 v/v/v/v) in extraction thimble
and extracted for 56 h in the soxhlet apparatus",,,,
323,"(Akanbi et al., 2011)",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=502541351ea47db3fd26caf541464c65ac88a069,passion fruit,"leaf, stem, and fruit",Nigeria,12.34,16.6,,Soxhlet  method, hexane and water ,Passiflora edulis (Sims),no significant differences in susceptibility of gram positives and gram negative organisms except for the methanolic extract of the fruit,,"Fifty grams of each coarse powdered plant material was extracted with 250 ml each of the solvents namely  hexane, methanol, ethyl- acetate and water in a beaker for  24 hours After this ,the  different mixtures were separately  filtered and the filtrates concentrated.",,,,
324,"(Zhao et al., 2023)",https://doi.org/10.1016/j.foodhyd.2022.108301,passion fruit,pulp and seeds,China,2538.49,,,waveultrasound extraction ,t-butano,Passiflora edulis,"he results suggested that ultrasonic/microwave
treatments before TPP separation can greatly enhance the yield of PFP possibly because the cavitation effect of ultrasonic wave and/or elec-tromagnetic heating effect of microwave can effectively accelerate the
destruction of passion fruit pee",,"The mashed peels were centrifuged at 4000 rpm for
20 min. The collected supernatant was adjusted to pH 5.4 by 1.0 M
NaOH or 1 M HCl, mixed with t-butanol at a volume ratio of 1:1.5 (v)",,,,
325,"(L³pez-Vargas et al., 2013)",http://dx.doi.org/10.1016/j.foodres.2013.01.055,passion fruit,seeds and pulp fiber,Spain,7.2,5.12,, aqueous extraction ,DMSO ,Passiflora edulis Sims,"The antimicrobial activities observed in this study might be due to the presence, as occurred with the antioxidant activity, of phenolic acid and/or flavonoid compounds",vitamin C,"Samples (1 g PFA or PFSP) were weighed into a tube test and 5 mL of
water, methanol or DMSO were added. ",,,,
326,"(Kawakami et al., 2021)",https://doi.org/10.3390/life12010038,passion fruit,Seeds,Japan,12.34,,43.26, aqueous extraction ,ethanol,Passiflora edulis Sims,"P. edulis seed extracts have skin-protective effects, such as promoting collagen synthesis and increasing the level of intracellular antioxidants, and human studies have shown that intake of seed extract improves skin moisture and elasticity",vitamin C,,,,,
327,"(Rizwana et al., 2019)", https://doi.org/10.22207/JPAM.13.4.64,passion fruit, seeds and peels,Saudi Arabia,194.76,229.14,,Soxhlet  method,ethanol,Passiflora edulis f. edulis Sims,", microphotographs of treated cells show the damaging effects of ethanolic (pulp with seeds) extracts on cell morphology",vitamin C,"Pulp and powdered peels (20 g) were subjected to extraction with ethanol, methanol, acetone, and ethyl acetate (100 ml). Extracts were placed on a rotator shaker at 180 rpm for 72 h, after which they were filtered using a Whatman filter pape",,,,
328,"(Dutra et al., 2018)",https://doi.org/10.1007/s13580-018-0092-1,passion fruit,pulp ,Brazil,,171.8,,Soxhlet  method,ethanol,Passiflora edulis f. flavicarpa,Combined treatment with hot water at 47 C for 4 or 5 min followed by application with Zn phosphite was also effective in the control of anthracnose in passion fruit.,,,,,,
329,"(Moo-Huchin et al., 2015)",http://dx.doi.org/10.1016/j.foodchem.2014.05.127,passion fruit,peel ,Mexico,695.1,628.1,59.02,Soxhlet  method,ethanol,Passiflora edulis,"The major phenolic compounds present in fruit, yellow cashew and red cashew were ferulic acid, gallic acid,
ellagic acid and myricetin.",Vitamin C,,,435,,
330,"(Nitcheu Ngemakwe et al., 2017)",http://dx.doi.org/10.1016/j.sajb.2017.08.006,passion fruit,pulp ,South Africa,567,,,Soxhlet  method,ethanol,Passiflora edulis,"This review demonstrates
that these fruit trees are able to supplement the diet of many rural
families by providing essential micronutrients and health benefits as
well as serve as an alternative for a cash income, especially in times
of famine",Vitamin C,,,,,
331,"(Rai et al., 2022)",https://doi.org/10.52403/ijrr.20220442 ,passion fruit,seed,India,,158,,Soxhlet  method,ethanol,Passiflora edulis,Passion Fruits are the most famous and popular medicinal plant as well marketed Preparation plant because in the marketed jam juice herbal medicine is demand is high,,,,,,
332,"(Pertuzatti et al., 2015)",http://dx.doi.org/10.1016/j.lwt.2015.05.031,passion fruit,pulp ,Brazil,79.65,,,Soxhlet  method,ethanol,P. edulis Sims f. flavicarpa,The tocopherols (vitamin E) and ascorbic acid (vitamin C) content was higher in the passion fruit that was organically cultivated,,"The fruit extracts were
obtained using cold acetone and mixed with petroleum ether. The ethereal phase was separated and centrifuged at 9000 rpm for 10 min ",,,,
333,"(Rotta et al., 2019)",https://doi.org/10.1016/j.lwt.2018.10.052,passion fruit,pulp and seeds,USA,63.5,,,QuEChERS extractio,,Passiflora spp.,"The developed method allowed the accurate determination of nine
phenolic compounds from passion fruit pulp at low concentrations
(480 ¼g) with recoveries ranging between 73% and 115%",,"The validated extraction procedure involved weighing 10 g ofMagnesium sulphate (MgSO4); Bondesil primary secondary amine (PSA);
Graphitized carbon black (GCB); Octadecylsilane (C18).",,,,
334,"(COQUEIRO et al., 2016)",https://doi.org/10.1590/1983-084x/15_187,passion fruit,pulp and seeds,Brazil,382,,586.7,Soxhlet  method,,Passiflora edulis f. flavicarpa Deg,this studys development to evaluate the toxicity of supplementation for chronic periods is very important. ,,,,,,
335,"(Fedrizzi et al., 2012)",http://dx.doi.org/10.1016/j.phytochem.2012.01.017,passion fruit,pulp ,Italy,11.41,32.68,,Ultrasonic method,ethanol,Passiflora edulis f. flavicarpa,,,,,,,
336,"(Giampieri & Battino, 2020)",https://doi.org/10.3390/ijms21093278, passion fruit ,peel,Brazil,382,,586.7,,,Passiflora edulis Sims f. edulis,,,,,,,
337,"(Macoris et al., 2012)",https://doi.org/10.1002/jsfa.5556, passion fruit ,pulp,Brazil,361.9,,,,methanol,Passiflora edulis var. Sims,TPC values increased during ripening for both organic and conventional passion fruit.,vitamin C,The conditions to extract TPC were 2 mL passion fruit pulp and 9 mL extraction solution containing 40% methanol:water (v/v).,3 87.,,,
338,"(Baseggio et al., 2021)",https://doi.org/10.1111/jfbc.13885, passion fruit ,pulp   ,Brazil,153.14,,,Soxhlet  method,ethanol:water  ,P. edulis Sims,the  oral  consumption  of  passion  fruit  bagasse  impacted  these  parameters.,,,,,,
339,"(Purohit et al., 2021)",https://doi.org/10.1007/s11694-021-00899-6, passion fruit ,rind and seed,India,83,,,Methanolic extract,Methanol,Passiflora edulis L,The obtained findings could help understand the nutritional and therapeutic values of passion fruit from Northeast India for their food and pharmaceutical applications.,carbohydrate,,,,,
340,"(Nely M. et al., 2020)",DOI: 10.7324/JAPS.2020.10906, passion fruit ,pulp   ,Colombia,,114.588,,Soxhlet  method,ethanol,P. edulis,"results support the ethnopharmacological use of these three fruits, concerning the treatment of various chronic NCDs",,The dried material was extracted with ethanol (96%) at room temperature in stoppered containers for a defined period of time with frequent agitation until exhaustion and the obtained extract was concentrated in a rotary evaporator at controlled temperatures (38C  40C) and reduced pressure,471.69,,,
341,"(Joseph et al., 2020)",https://www.scopus.com/record/display.uri?eid=2-s2.0-85125590134&origin=resultslist&sort=plf-f&src=s&st1=yellow+passion+fruit&nlo=&nlr=&nls=&sid=872a90362bbb679c50e5cb9f60a5add6&sot=b&sdt=b&sl=35&s=TITLE-ABS-KEY%28yellow+passion+fruit%29&relpos=50&citeCnt=0&searchTerm=#top, passion fruit ,pulp   ,India,,,,Soxhlet  method,ethanol,Passiflora edulis Sims.,"Correlation studies showed that yield/vine had significant and positive correlation with fruit diameter, fruit girth, fruit weight, pulp weight and juice weight. ",,,,,,
342,"(Rotta et al., 2019)",https://doi.org/10.1016/j.lwt.2018.10.052, passion fruit ,pulp and seeds,Brazil,194.76,229.14,,QuEChERS extractio,ethanol,Passiflora spp,"All target phenolic compounds were found in P.
edulis pulp, with the highest abundance of vanillic acid and quercetin",vitamin C,"10 g of P. edulis pulp was weighed into a 50 mL
Falcon tube and 10 mL of acetonitrile was added. The tubes were
shaken by vortex (Vortex, AP 56 model, Phoenix) for 1 min. MgSO4
(4 g) and NaCl (1 g) were then added",,,,
343,"(L³pez-Vargas et al., 2013)",https://doi.org/10.1016/j.foodres.2013.01.055, passion fruit , pulp and seeds,Colombia,12.34,16.6,,QuEChERS extractio,Methanol,"Passiflora edulis var.
flavicarpa","All target phenolic compounds were found in P.
edulis pulp, with the highest abundance of vanillic acid and quercetin.",,"extracted with 5 mL of three
different solvents such as methanol, water and dimethylsulfoxide
(DMSO), using an ultrasonic water bath ",,,,
